Periodo;Tecnologia;Empresas_Adotantes;Taxa_Adocao_Percent;Investimento_Milhoes;Profissionais_Treinados;Satisfacao_Media;Tempo_Implementacao_Meses
Q1_2023;Cloud_Computing;245;18,5;12,3;450;7,8;4,2
Q1_2023;Machine_Learning;89;6,7;8,9;156;7,2;5,8
Q1_2023;DevOps;156;11,8;6,5;289;7,5;3,9
Q1_2023;Kubernetes;67;5,1;4,2;123;7,1;4,5
Q1_2023;Microservices;123;9,3;7,8;234;7,4;5,1
Q1_2023;API_REST;234;17,7;5,6;412;8,1;2,8
Q2_2023;Cloud_Computing;312;23,6;18,5;678;8,2;4,1
Q2_2023;Machine_Learning;145;11,0;14,2;267;7,8;5,5
Q2_2023;DevOps;234;17,7;10,3;456;8,0;3,8
Q2_2023;Kubernetes;123;9,3;7,8;234;7,6;4,3
Q2_2023;Microservices;189;14,3;12,1;367;7,9;4,9
Q2_2023;API_REST;312;23,6;8,9;567;8,3;2,7
Q3_2023;Cloud_Computing;389;29,4;25,7;812;8,5;4,0
Q3_2023;Machine_Learning;234;17,7;22,5;456;8,2;5,2
Q3_2023;DevOps;312;23,6;15,8;612;8,3;3,7
Q3_2023;Kubernetes;189;14,3;12,3;367;8,0;4,1
Q3_2023;Microservices;267;20,2;18,9;534;8,2;4,7
Q3_2023;API_REST;389;29,4;12,1;723;8,5;2,6
Q4_2023;Cloud_Computing;456;34,5;32,1;945;8,7;3,9
Q4_2023;Machine_Learning;312;23,6;29,8;589;8,4;5,0
Q4_2023;DevOps;389;29,4;21,2;756;8,5;3,6
Q4_2023;Kubernetes;267;20,2;18,5;512;8,2;4,0
Q4_2023;Microservices;345;26,1;25,3;678;8,4;4,5
Q4_2023;API_REST;456;34,5;15,3;834;8,6;2,5
Q1_2024;Cloud_Computing;534;40,4;39,5;1089;8,8;3,8
Q1_2024;Machine_Learning;389;29,4;37,2;723;8,6;4,8
Q1_2024;DevOps;456;34,5;27,6;901;8,7;3,5
Q1_2024;Kubernetes;345;26,1;25,1;678;8,4;3,9
Q1_2024;Microservices;423;32,0;32,7;834;8,6;4,3
Q1_2024;API_REST;534;40,4;18,5;945;8,7;2,4
Q2_2024;Cloud_Computing;612;46,3;47,8;1234;8,9;3,7
Q2_2024;Machine_Learning;467;35,3;45,6;867;8,7;4,6
Q2_2024;DevOps;534;40,4;34,1;1056;8,8;3,4
Q2_2024;Kubernetes;423;32,0;32,3;834;8,5;3,8
Q2_2024;Microservices;501;37,9;40,5;978;8,7;4,1
Q2_2024;API_REST;612;46,3;21,7;1089;8,8;2,3
Q3_2024;Cloud_Computing;678;51,3;54,2;1356;9,0;3,6
Q3_2024;Machine_Learning;534;40,4;52,1;1012;8,8;4,4
Q3_2024;DevOps;612;46,3;40,5;1212;8,9;3,3
Q3_2024;Kubernetes;501;37,9;39,5;978;8,6;3,7
Q3_2024;Microservices;578;43,7;48,3;1134;8,8;3,9
Q3_2024;API_REST;678;51,3;25,1;1234;8,9;2,2
Q4_2024;Cloud_Computing;734;55,6;60,5;1467;9,1;3,5
Q4_2024;Machine_Learning;612;46,3;58,7;1156;8,9;4,2
Q4_2024;DevOps;678;51,3;46,8;1345;9,0;3,2
Q4_2024;Kubernetes;567;42,9;45,8;1123;8,7;3,6
Q4_2024;Microservices;645;48,8;54,1;1267;8,9;3,8
Q4_2024;API_REST;734;55,6;28,3;1356;9,0;2,1
Q1_2025;Cloud_Computing;789;59,7;66,2;1578;9,2;3,4
Q1_2025;Machine_Learning;678;51,3;64,3;1289;9,0;4,0
Q1_2025;DevOps;734;55,6;52,1;1456;9,1;3,1
Q1_2025;Kubernetes;623;47,1;51,2;1234;8,8;3,5
Q1_2025;Microservices;712;53,9;59,8;1389;9,0;3,7
Q1_2025;API_REST;789;59,7;31,5;1467;9,1;2,0
